CD_GEOCMU,Município,CodEstado,Estado,IDHM1991,IDHMR1991,IDHML1991,IDHME1991,R1991,IDHM2000,IDHMR2000,IDHML2000,IDHME2000,R2000,IDHM2010,IDHMR2010,IDHML2010,IDHME2010,R2010,NM_MUNNICIP
1100015,Alta Floresta D'Oeste,11,Rondônia,0.329,0.516,0.617,0.112,3619,0.483,0.617,0.698,0.262,3452,0.641,0.657,0.763,0.526,3275,ALTA FLORESTA D'OESTE
1100023,Ariquemes,11,Rondônia,0.432,0.593,0.684,0.199,1922,0.556,0.674,0.742,0.343,2408,0.702,0.716,0.806,0.600,1842,ARIQUEMES
1100031,Cabixi,11,Rondônia,0.309,0.430,0.636,0.108,3980,0.488,0.604,0.677,0.284,3381,0.650,0.650,0.757,0.559,3115,CABIXI
1100049,Cacoal,11,Rondônia,0.407,0.593,0.667,0.171,2360,0.567,0.650,0.745,0.377,2211,0.718,0.727,0.821,0.620,1362,CACOAL
1100056,Cerejeiras,11,Rondônia,0.386,0.547,0.629,0.167,2718,0.542,0.668,0.704,0.338,2633,0.692,0.688,0.799,0.602,2134,CEREJEIRAS
1100064,Colorado do Oeste,11,Rondônia,0.376,0.536,0.658,0.151,2870,0.545,0.629,0.710,0.362,2581,0.685,0.676,0.814,0.584,2309,COLORADO DO OESTE
1100072,Corumbiara,11,Rondônia,0.203,0.373,0.572,0.039,5377,0.401,0.539,0.649,0.185,4747,0.613,0.630,0.774,0.473,3847,CORUMBIARA
1100080,Costa Marques,11,Rondônia,0.425,0.553,0.629,0.220,2051,0.486,0.598,0.650,0.295,3409,0.611,0.616,0.751,0.493,3884,COSTA MARQUES
1100098,Espigão D'Oeste,11,Rondônia,0.388,0.561,0.653,0.159,2688,0.501,0.640,0.710,0.276,3214,0.672,0.691,0.819,0.536,2621,ESPIGÃO D'OESTE
1100106,Guajará-Mirim,11,Rondônia,0.468,0.625,0.662,0.247,1302,0.573,0.638,0.742,0.398,2085,0.657,0.663,0.823,0.519,2964,GUAJARÁ-MIRIM
1100114,Jaru,11,Rondônia,0.352,0.534,0.658,0.124,3244,0.514,0.626,0.710,0.305,3053,0.689,0.687,0.825,0.577,2199,JARU
1100122,Ji-Paraná,11,Rondônia,0.433,0.589,0.659,0.209,1901,0.564,0.676,0.713,0.373,2263,0.714,0.728,0.810,0.617,1486,JI-PARANÁ
1100130,Machadinho D'Oeste,11,Rondônia,0.286,0.533,0.591,0.074,4403,0.449,0.592,0.680,0.225,3944,0.596,0.629,0.755,0.446,4238,MACHADINHO D'OESTE
1100148,Nova Brasilândia D'Oeste,11,Rondônia,0.272,0.421,0.607,0.079,4649,0.459,0.583,0.660,0.251,3794,0.643,0.664,0.763,0.524,3234,NOVA BRASILÂNDIA D'OESTE
1100155,Ouro Preto do Oeste,11,Rondônia,0.382,0.570,0.629,0.155,2780,0.533,0.658,0.704,0.326,2771,0.682,0.687,0.812,0.569,2386,OURO PRETO DO OESTE
1100189,Pimenta Bueno,11,Rondônia,0.412,0.599,0.629,0.185,2269,0.573,0.666,0.704,0.402,2085,0.710,0.726,0.803,0.613,1595,PIMENTA BUENO
1100205,Porto Velho,11,Rondônia,0.495,0.660,0.633,0.290,848,0.613,0.697,0.704,0.469,1317,0.736,0.764,0.819,0.638,876,PORTO VELHO
1100254,Presidente Médici,11,Rondônia,0.348,0.507,0.647,0.128,3303,0.485,0.607,0.681,0.276,3427,0.664,0.671,0.792,0.550,2802,PRESIDENTE MÉDICI
1100262,Rio Crespo,11,Rondônia,0.259,0.461,0.578,0.065,4847,0.441,0.544,0.699,0.225,4079,0.643,0.637,0.813,0.513,3234,RIO CRESPO
1100288,Rolim de Moura,11,Rondônia,0.383,0.554,0.665,0.153,2762,0.559,0.646,0.742,0.364,2366,0.700,0.709,0.808,0.598,1904,ROLIM DE MOURA
1100296,Santa Luzia D'Oeste,11,Rondônia,0.289,0.422,0.572,0.100,4346,0.482,0.543,0.693,0.297,3462,0.670,0.657,0.812,0.564,2663,SANTA LUZIA D'OESTE
1100304,Vilhena,11,Rondônia,0.498,0.655,0.665,0.284,803,0.620,0.689,0.745,0.464,1173,0.731,0.734,0.808,0.659,993,VILHENA
1100320,São Miguel do Guaporé,11,Rondônia,0.252,0.433,0.559,0.066,4953,0.409,0.578,0.660,0.179,4623,0.646,0.644,0.781,0.537,3186,SÃO MIGUEL DO GUAPORÉ
1100338,Nova Mamoré,11,Rondônia,0.336,0.517,0.547,0.134,3497,0.446,0.565,0.650,0.242,3990,0.587,0.619,0.769,0.424,4467,NOVA MAMORÉ
1100346,Alvorada D'Oeste,11,Rondônia,0.313,0.458,0.598,0.112,3914,0.469,0.592,0.669,0.261,3651,0.643,0.654,0.763,0.534,3234,ALVORADA D'OESTE
1100379,Alto Alegre dos Parecis,11,Rondônia,0.241,0.451,0.572,0.054,5078,0.402,0.534,0.681,0.178,4725,0.592,0.603,0.777,0.443,4331,ALTO ALEGRE DOS PARECIS
1100403,Alto Paraíso,11,Rondônia,0.269,0.454,0.578,0.074,4704,0.446,0.649,0.693,0.197,3990,0.625,0.664,0.804,0.457,3587,ALTO PARAÍSO
1100452,Buritis,11,Rondônia,0.325,0.474,0.638,0.113,3697,0.415,0.660,0.672,0.161,4536,0.616,0.650,0.751,0.479,3771,BURITIS
1100502,Novo Horizonte do Oeste,11,Rondônia,0.199,0.362,0.572,0.038,5398,0.442,0.627,0.682,0.202,4064,0.634,0.606,0.799,0.527,3407,NOVO HORIZONTE DO OESTE
1100601,Cacaulândia,11,Rondônia,0.283,0.470,0.609,0.079,4457,0.454,0.647,0.703,0.206,3858,0.646,0.664,0.801,0.506,3186,CACAULÂNDIA
1100700,Campo Novo de Rondônia,11,Rondônia,0.293,0.496,0.597,0.085,4272,0.432,0.623,0.683,0.189,4237,0.593,0.667,0.772,0.404,4309,CAMPO NOVO DE RONDÔNIA
1100809,Candeias do Jamari,11,Rondônia,0.366,0.595,0.578,0.143,3037,0.478,0.622,0.699,0.251,3527,0.649,0.652,0.819,0.512,3136,CANDEIAS DO JAMARI
1100908,Castanheiras,11,Rondônia,0.221,0.394,0.572,0.048,5266,0.498,0.588,0.703,0.299,3246,0.658,0.650,0.803,0.547,2946,CASTANHEIRAS
1100924,Chupinguaia,11,Rondônia,0.281,0.529,0.616,0.068,4491,0.479,0.616,0.697,0.256,3512,0.652,0.659,0.820,0.514,3070,CHUPINGUAIA
1100940,Cujubim,11,Rondônia,0.237,0.425,0.629,0.050,5137,0.425,0.628,0.694,0.176,4353,0.612,0.663,0.789,0.439,3866,CUJUBIM
1101005,Governador Jorge Teixeira,11,Rondônia,0.217,0.471,0.558,0.039,5295,0.380,0.594,0.677,0.136,5047,0.596,0.627,0.762,0.444,4238,GOVERNADOR JORGE TEIXEIRA
1101104,Itapuã do Oeste,11,Rondônia,0.349,0.552,0.568,0.135,3286,0.478,0.629,0.669,0.260,3527,0.614,0.633,0.751,0.488,3820,ITAPUÃ DO OESTE
1101203,Ministro Andreazza,11,Rondônia,0.277,0.546,0.638,0.061,4564,0.467,0.623,0.694,0.236,3678,0.638,0.647,0.776,0.518,3333,MINISTRO ANDREAZZA
1101302,Mirante da Serra,11,Rondônia,0.254,0.459,0.647,0.055,4930,0.470,0.610,0.697,0.244,3636,0.643,0.673,0.800,0.494,3234,MIRANTE DA SERRA
1101401,Monte Negro,11,Rondônia,0.270,0.520,0.609,0.062,4684,0.435,0.603,0.680,0.201,4184,0.607,0.645,0.762,0.454,3984,MONTE NEGRO
1101435,Nova União,11,Rondônia,0.228,0.427,0.591,0.047,5220,0.405,0.549,0.681,0.178,4684,0.587,0.608,0.753,0.442,4467,NOVA UNIÃO
1101450,Parecis,11,Rondônia,0.174,0.463,0.629,0.018,5488,0.412,0.505,0.686,0.202,4582,0.617,0.604,0.800,0.485,3756,PARECIS
1101468,Pimenteiras do Oeste,11,Rondônia,0.280,0.463,0.658,0.072,4515,0.524,0.530,0.710,0.382,2902,0.665,0.662,0.816,0.545,2776,PIMENTEIRAS DO OESTE
1101476,Primavera de Rondônia,11,Rondônia,0.284,0.446,0.629,0.082,4442,0.439,0.543,0.686,0.227,4121,0.641,0.645,0.799,0.512,3275,PRIMAVERA DE RONDÔNIA
1101484,São Felipe D'Oeste,11,Rondônia,0.232,0.425,0.629,0.047,5191,0.466,0.562,0.694,0.260,3686,0.649,0.615,0.780,0.571,3136,SÃO FELIPE D'OESTE
1101492,São Francisco do Guaporé,11,Rondônia,0.298,0.476,0.647,0.086,4182,0.434,0.648,0.698,0.181,4199,0.611,0.657,0.751,0.462,3884,SÃO FRANCISCO DO GUAPORÉ
1101500,Seringueiras,11,Rondônia,0.258,0.455,0.622,0.061,4866,0.439,0.587,0.673,0.214,4121,0.598,0.644,0.779,0.427,4198,SERINGUEIRAS
1101559,Teixeirópolis,11,Rondônia,0.226,0.466,0.653,0.038,5237,0.440,0.571,0.693,0.216,4099,0.643,0.653,0.818,0.498,3234,TEIXEIRÓPOLIS
1101609,Theobroma,11,Rondônia,0.247,0.454,0.636,0.052,5018,0.402,0.540,0.664,0.181,4725,0.589,0.622,0.757,0.434,4416,THEOBROMA
1101708,Urupá,11,Rondônia,0.230,0.506,0.647,0.037,5202,0.424,0.556,0.677,0.203,4371,0.609,0.621,0.772,0.471,3927,URUPÁ
1101757,Vale do Anari,11,Rondônia,0.216,0.412,0.583,0.042,5304,0.409,0.644,0.660,0.161,4623,0.584,0.626,0.756,0.421,4540,VALE DO ANARI
1101807,Vale do Paraíso,11,Rondônia,0.247,0.442,0.647,0.053,5018,0.438,0.600,0.698,0.200,4137,0.627,0.641,0.792,0.485,3534,VALE DO PARAÍSO
1200013,Acrelândia,12,Acre,0.247,0.535,0.652,0.043,5018,0.451,0.565,0.723,0.224,3904,0.604,0.584,0.808,0.466,4055,ACRELÂNDIA
1200054,Assis Brasil,12,Acre,0.314,0.499,0.646,0.096,3895,0.425,0.517,0.711,0.209,4353,0.588,0.578,0.770,0.456,4444,ASSIS BRASIL
1200104,Brasiléia,12,Acre,0.336,0.497,0.622,0.123,3497,0.476,0.570,0.693,0.273,3553,0.614,0.619,0.770,0.485,3820,BRASILÉIA
1200138,Bujari,12,Acre,0.267,0.513,0.677,0.055,4731,0.460,0.546,0.707,0.252,3771,0.589,0.603,0.772,0.439,4416,BUJARI
1200179,Capixaba,12,Acre,0.183,0.514,0.596,0.020,5458,0.365,0.538,0.682,0.133,5207,0.575,0.601,0.794,0.398,4742,CAPIXABA
1200203,Cruzeiro do Sul,12,Acre,0.398,0.513,0.652,0.188,2536,0.510,0.564,0.721,0.327,3100,0.664,0.648,0.776,0.582,2802,CRUZEIRO DO SUL
1200252,Epitaciolândia,12,Acre,0.372,0.540,0.643,0.148,2944,0.474,0.569,0.701,0.267,3579,0.653,0.654,0.771,0.553,3055,EPITACIOLÂNDIA
1200302,Feijó,12,Acre,0.258,0.459,0.584,0.064,4866,0.323,0.431,0.644,0.121,5454,0.539,0.559,0.723,0.388,5332,FEIJÓ
1200328,Jordão,12,Acre,0.170,0.333,0.611,0.024,5496,0.222,0.331,0.637,0.052,5563,0.469,0.499,0.731,0.283,5559,JORDÃO
1200336,Mâncio Lima,12,Acre,0.298,0.429,0.622,0.099,4182,0.456,0.489,0.682,0.285,3836,0.625,0.580,0.770,0.546,3587,MÂNCIO LIMA
1200344,Manoel Urbano,12,Acre,0.218,0.423,0.643,0.038,5290,0.395,0.505,0.693,0.176,4824,0.551,0.586,0.767,0.373,5186,MANOEL URBANO
1200351,Marechal Thaumaturgo,12,Acre,0.186,0.361,0.596,0.030,5454,0.301,0.395,0.637,0.108,5520,0.501,0.479,0.726,0.361,5529,MARECHAL THAUMATURGO
1200385,Plácido de Castro,12,Acre,0.265,0.469,0.649,0.061,4762,0.464,0.539,0.721,0.257,3714,0.622,0.593,0.786,0.517,3653,PLÁCIDO DE CASTRO
1200393,Porto Walter,12,Acre,0.176,0.354,0.596,0.026,5480,0.342,0.454,0.637,0.138,5368,0.532,0.521,0.726,0.397,5382,PORTO WALTER
1200401,Rio Branco,12,Acre,0.485,0.643,0.684,0.259,1011,0.591,0.673,0.724,0.423,1735,0.727,0.729,0.798,0.661,1107,RIO BRANCO
1200427,Rodrigues Alves,12,Acre,0.245,0.386,0.622,0.061,5050,0.399,0.449,0.644,0.220,4768,0.567,0.518,0.736,0.477,4903,RODRIGUES ALVES
1200435,Santa Rosa do Purus,12,Acre,0.167,0.378,0.643,0.019,5503,0.277,0.359,0.701,0.084,5551,0.517,0.519,0.781,0.340,5473,SANTA ROSA DO PURUS
1200450,Senador Guiomard,12,Acre,0.354,0.535,0.677,0.123,3217,0.488,0.583,0.724,0.275,3381,0.640,0.649,0.786,0.513,3291,SENADOR GUIOMARD
1200500,Sena Madureira,12,Acre,0.317,0.483,0.647,0.102,3846,0.451,0.527,0.723,0.240,3904,0.603,0.593,0.810,0.456,4081,SENA MADUREIRA
1200609,Tarauacá,12,Acre,0.274,0.450,0.611,0.075,4615,0.386,0.488,0.644,0.183,4960,0.539,0.554,0.720,0.392,5332,TARAUACÁ
1200708,Xapuri,12,Acre,0.348,0.496,0.646,0.131,3303,0.445,0.540,0.711,0.230,4005,0.599,0.621,0.773,0.448,4167,XAPURI
1200807,Porto Acre,12,Acre,0.259,0.457,0.622,0.061,4847,0.443,0.531,0.685,0.239,4048,0.576,0.593,0.771,0.418,4718,PORTO ACRE
1300029,Alvarães,13,Amazonas,0.306,0.487,0.640,0.092,4041,0.373,0.504,0.673,0.153,5128,0.527,0.499,0.778,0.377,5416,ALVARÃES
1300060,Amaturá,13,Amazonas,0.254,0.425,0.599,0.064,4930,0.413,0.436,0.694,0.233,4564,0.560,0.499,0.773,0.455,5049,AMATURÁ
1300086,Anamã,13,Amazonas,0.307,0.504,0.590,0.097,4029,0.408,0.514,0.634,0.209,4637,0.594,0.537,0.741,0.526,4284,ANAMÃ
1300102,Anori,13,Amazonas,0.357,0.489,0.595,0.157,3156,0.428,0.502,0.675,0.231,4303,0.561,0.540,0.757,0.433,5027,ANORI
1300144,Apuí,13,Amazonas,0.322,0.542,0.622,0.099,3747,0.437,0.556,0.681,0.221,4150,0.637,0.621,0.772,0.540,3357,APUÍ
1300201,Atalaia do Norte,13,Amazonas,0.246,0.399,0.640,0.058,5036,0.348,0.469,0.665,0.135,5339,0.450,0.481,0.733,0.259,5563,ATALAIA DO NORTE
1300300,Autazes,13,Amazonas,0.357,0.507,0.640,0.140,3156,0.420,0.494,0.699,0.214,4452,0.577,0.539,0.799,0.446,4695,AUTAZES
1300409,Barcelos,13,Amazonas,0.317,0.518,0.615,0.100,3846,0.384,0.531,0.693,0.154,4986,0.500,0.545,0.728,0.315,5531,BARCELOS
1300508,Barreirinha,13,Amazonas,0.293,0.438,0.620,0.093,4272,0.399,0.437,0.693,0.210,4768,0.574,0.469,0.774,0.522,4764,BARREIRINHA
1300607,Benjamin Constant,13,Amazonas,0.300,0.404,0.622,0.107,4144,0.389,0.462,0.679,0.188,4917,0.574,0.526,0.763,0.471,4764,BENJAMIN CONSTANT
1300631,Beruri,13,Amazonas,0.272,0.420,0.590,0.081,4649,0.340,0.455,0.642,0.134,5384,0.506,0.512,0.731,0.346,5510,BERURI
1300680,Boa Vista do Ramos,13,Amazonas,0.287,0.445,0.599,0.089,4383,0.372,0.416,0.648,0.191,5139,0.565,0.496,0.750,0.484,4941,BOA VISTA DO RAMOS
1300706,Boca do Acre,13,Amazonas,0.288,0.484,0.635,0.078,4362,0.401,0.510,0.669,0.189,4747,0.588,0.576,0.777,0.455,4444,BOCA DO ACRE
1300805,Borba,13,Amazonas,0.305,0.491,0.576,0.100,4067,0.389,0.510,0.654,0.176,4917,0.560,0.532,0.776,0.425,5049,BORBA
1300839,Caapiranga,13,Amazonas,0.258,0.482,0.622,0.057,4866,0.403,0.472,0.665,0.209,4713,0.569,0.544,0.775,0.436,4869,CAAPIRANGA
1300904,Canutama,13,Amazonas,0.212,0.449,0.576,0.037,5319,0.380,0.442,0.648,0.191,5047,0.530,0.522,0.752,0.379,5395,CANUTAMA
1301001,Carauari,13,Amazonas,0.268,0.465,0.583,0.071,4717,0.344,0.481,0.634,0.134,5356,0.549,0.534,0.745,0.416,5209,CARAUARI
1301100,Careiro,13,Amazonas,0.237,0.422,0.640,0.049,5137,0.337,0.466,0.699,0.118,5393,0.557,0.515,0.779,0.431,5098,CAREIRO
1301159,Careiro da Várzea,13,Amazonas,0.248,0.492,0.622,0.050,5009,0.387,0.486,0.694,0.172,4945,0.568,0.523,0.779,0.450,4884,CAREIRO DA VÁRZEA
1301209,Coari,13,Amazonas,0.312,0.467,0.622,0.105,3933,0.389,0.481,0.703,0.174,4917,0.586,0.606,0.780,0.425,4495,COARI
1301308,Codajás,13,Amazonas,0.355,0.539,0.563,0.147,3193,0.440,0.543,0.661,0.237,4099,0.563,0.546,0.775,0.421,4984,CODAJÁS
1301407,Eirunepé,13,Amazonas,0.295,0.413,0.599,0.104,4241,0.409,0.458,0.648,0.230,4623,0.563,0.548,0.756,0.431,4984,EIRUNEPÉ
1301506,Envira,13,Amazonas,0.263,0.416,0.599,0.073,4789,0.346,0.409,0.642,0.158,5353,0.509,0.521,0.727,0.349,5502,ENVIRA
1301605,Fonte Boa,13,Amazonas,0.243,0.453,0.576,0.055,5067,0.320,0.483,0.618,0.110,5464,0.530,0.518,0.719,0.400,5395,FONTE BOA
1301654,Guajará,13,Amazonas,0.266,0.420,0.576,0.078,4746,0.381,0.463,0.665,0.179,5035,0.532,0.510,0.762,0.387,5382,GUAJARÁ
1301704,Humaitá,13,Amazonas,0.296,0.485,0.669,0.080,4217,0.475,0.565,0.699,0.272,3567,0.605,0.621,0.791,0.451,4029,HUMAITÁ
1301803,Ipixuna,13,Amazonas,0.257,0.371,0.539,0.085,4882,0.318,0.374,0.665,0.129,5475,0.481,0.476,0.772,0.302,5554,IPIXUNA
1301852,Iranduba,13,Amazonas,0.323,0.521,0.640,0.101,3723,0.437,0.537,0.754,0.206,4150,0.613,0.607,0.799,0.476,3847,IRANDUBA
1301902,Itacoatiara,13,Amazonas,0.408,0.532,0.667,0.192,2338,0.491,0.544,0.741,0.293,3350,0.644,0.618,0.811,0.534,3222,ITACOATIARA
1301951,Itamarati,13,Amazonas,0.210,0.487,0.611,0.031,5325,0.331,0.507,0.661,0.108,5424,0.477,0.529,0.772,0.266,5556,ITAMARATI
1302009,Itapiranga,13,Amazonas,0.409,0.495,0.646,0.214,2323,0.478,0.465,0.714,0.329,3527,0.654,0.594,0.792,0.594,3030,ITAPIRANGA
1302108,Japurá,13,Amazonas,0.208,0.482,0.640,0.029,5343,0.304,0.515,0.679,0.080,5515,0.522,0.552,0.748,0.345,5449,JAPURÁ
1302207,Juruá,13,Amazonas,0.291,0.422,0.539,0.108,4315,0.362,0.480,0.604,0.164,5234,0.522,0.538,0.704,0.376,5449,JURUÁ
1302306,Jutaí,13,Amazonas,0.187,0.438,0.576,0.026,5451,0.304,0.434,0.654,0.099,5515,0.516,0.528,0.766,0.340,5477,JUTAÍ
1302405,Lábrea,13,Amazonas,0.254,0.473,0.599,0.058,4930,0.386,0.456,0.688,0.183,4960,0.531,0.538,0.744,0.374,5390,LÁBREA
1302504,Manacapuru,13,Amazonas,0.339,0.507,0.612,0.126,3455,0.437,0.517,0.694,0.232,4150,0.614,0.604,0.795,0.481,3820,MANACAPURU
1302553,Manaquiri,13,Amazonas,0.244,0.510,0.620,0.046,5058,0.429,0.543,0.670,0.217,4290,0.596,0.556,0.748,0.510,4238,MANAQUIRI
1302603,Manaus,13,Amazonas,0.521,0.676,0.681,0.307,496,0.601,0.674,0.727,0.443,1545,0.737,0.738,0.826,0.658,850,MANAUS
1302702,Manicoré,13,Amazonas,0.287,0.489,0.622,0.078,4383,0.398,0.460,0.693,0.198,4778,0.582,0.580,0.747,0.456,4590,MANICORÉ
1302801,Maraã,13,Amazonas,0.265,0.444,0.599,0.070,4762,0.291,0.419,0.648,0.091,5534,0.498,0.466,0.763,0.348,5535,MARAÃ
1302900,Maués,13,Amazonas,0.333,0.475,0.660,0.118,3543,0.454,0.510,0.714,0.257,3858,0.588,0.549,0.800,0.464,4444,MAUÉS
1303007,Nhamundá,13,Amazonas,0.356,0.456,0.599,0.165,3171,0.441,0.456,0.681,0.277,4079,0.586,0.513,0.779,0.503,4495,NHAMUNDÁ
1303106,Nova Olinda do Norte,13,Amazonas,0.321,0.501,0.599,0.110,3766,0.373,0.520,0.681,0.147,5128,0.558,0.541,0.780,0.412,5081,NOVA OLINDA DO NORTE
1303205,Novo Airão,13,Amazonas,0.264,0.467,0.615,0.064,4776,0.428,0.509,0.666,0.231,4303,0.570,0.551,0.776,0.434,4841,NOVO AIRÃO
1303304,Novo Aripuanã,13,Amazonas,0.293,0.513,0.622,0.079,4272,0.387,0.522,0.688,0.161,4945,0.554,0.532,0.759,0.421,5146,NOVO ARIPUANÃ
1303403,Parintins,13,Amazonas,0.414,0.520,0.637,0.214,2237,0.488,0.504,0.705,0.327,3381,0.658,0.589,0.800,0.605,2946,PARINTINS
1303502,Pauini,13,Amazonas,0.177,0.503,0.576,0.019,5475,0.287,0.516,0.618,0.074,5537,0.496,0.531,0.724,0.317,5538,PAUINI
1303536,Presidente Figueiredo,13,Amazonas,0.461,0.620,0.646,0.245,1407,0.537,0.624,0.721,0.344,2719,0.647,0.627,0.802,0.538,3172,PRESIDENTE FIGUEIREDO
1303569,Rio Preto da Eva,13,Amazonas,0.353,0.536,0.646,0.127,3232,0.434,0.528,0.705,0.220,4199,0.611,0.590,0.785,0.493,3884,RIO PRETO DA EVA
1303601,Santa Isabel do Rio Negro,13,Amazonas,0.236,0.404,0.539,0.060,5150,0.384,0.416,0.621,0.220,4986,0.479,0.461,0.737,0.323,5555,SANTA ISABEL DO RIO NEGRO
1303700,Santo Antônio do Içá,13,Amazonas,0.206,0.346,0.576,0.044,5359,0.306,0.390,0.665,0.110,5511,0.490,0.438,0.759,0.353,5541,SANTO ANTÔNIO DO IÇÁ
1303809,São Gabriel da Cachoeira,13,Amazonas,0.388,0.545,0.635,0.169,2688,0.478,0.528,0.727,0.285,3527,0.609,0.610,0.777,0.476,3927,SÃO GABRIEL DA CACHOEIRA
1303908,São Paulo de Olivença,13,Amazonas,0.269,0.357,0.576,0.095,4704,0.324,0.410,0.666,0.125,5452,0.521,0.471,0.780,0.386,5453,SÃO PAULO DE OLIVENÇA
1303957,São Sebastião do Uatumã,13,Amazonas,0.354,0.385,0.614,0.187,3217,0.428,0.469,0.661,0.253,4303,0.577,0.561,0.739,0.464,4695,SÃO SEBASTIÃO DO UATUMÃ
1304005,Silves,13,Amazonas,0.373,0.529,0.660,0.149,2923,0.486,0.537,0.688,0.310,3409,0.632,0.546,0.791,0.584,3448,SILVES
1304062,Tabatinga,13,Amazonas,0.333,0.506,0.669,0.109,3543,0.470,0.571,0.718,0.254,3636,0.616,0.602,0.769,0.505,3771,TABATINGA
1304104,Tapauá,13,Amazonas,0.151,0.378,0.539,0.017,5534,0.293,0.399,0.604,0.104,5532,0.502,0.512,0.694,0.355,5524,TAPAUÁ
1304203,Tefé,13,Amazonas,0.349,0.510,0.660,0.126,3286,0.438,0.544,0.701,0.221,4137,0.639,0.637,0.801,0.511,3312,TEFÉ
1304237,Tonantins,13,Amazonas,0.257,0.412,0.599,0.069,4882,0.327,0.425,0.666,0.124,5444,0.548,0.508,0.779,0.416,5225,TONANTINS
1304260,Uarini,13,Amazonas,0.290,0.411,0.620,0.096,4335,0.358,0.470,0.664,0.147,5270,0.527,0.535,0.724,0.378,5416,UARINI
1304302,Urucará,13,Amazonas,0.386,0.521,0.599,0.185,2718,0.487,0.577,0.703,0.285,3398,0.620,0.551,0.754,0.575,3702,URUCARÁ
1304401,Urucurituba,13,Amazonas,0.254,0.374,0.599,0.073,4930,0.427,0.444,0.694,0.252,4319,0.588,0.538,0.776,0.487,4444,URUCURITUBA
1400027,Amajari,14,Roraima,0.333,0.556,0.591,0.112,3543,0.420,0.499,0.698,0.212,4452,0.484,0.437,0.815,0.319,5550,AMAJARI
1400050,Alto Alegre,14,Roraima,0.306,0.496,0.574,0.101,4041,0.460,0.478,0.698,0.291,3771,0.542,0.518,0.813,0.379,5293,ALTO ALEGRE
1400100,Boa Vista,14,Roraima,0.529,0.687,0.655,0.329,417,0.649,0.692,0.725,0.546,650,0.752,0.737,0.816,0.708,508,BOA VISTA
1400159,Bonfim,14,Roraima,0.340,0.520,0.591,0.128,3430,0.458,0.511,0.698,0.269,3812,0.626,0.597,0.809,0.509,3561,BONFIM
1400175,Cantá,14,Roraima,0.301,0.529,0.645,0.080,4131,0.499,0.550,0.725,0.312,3238,0.619,0.581,0.803,0.509,3721,CANTÁ
1400209,Caracaraí,14,Roraima,0.405,0.588,0.645,0.175,2402,0.521,0.594,0.702,0.339,2947,0.624,0.601,0.780,0.518,3607,CARACARAÍ
1400233,Caroebe,14,Roraima,0.249,0.347,0.526,0.085,4992,0.492,0.564,0.662,0.319,3340,0.639,0.600,0.791,0.549,3312,CAROEBE
1400282,Iracema,14,Roraima,0.358,0.493,0.574,0.162,3142,0.518,0.579,0.698,0.343,2986,0.582,0.560,0.810,0.434,4590,IRACEMA
1400308,Mucajaí,14,Roraima,0.374,0.541,0.655,0.148,2897,0.550,0.600,0.754,0.368,2497,0.665,0.661,0.813,0.547,2776,MUCAJAÍ
1400407,Normandia,14,Roraima,0.278,0.421,0.526,0.097,4549,0.373,0.432,0.669,0.180,5128,0.594,0.520,0.801,0.502,4284,NORMANDIA
1400456,Pacaraima,14,Roraima,0.378,0.532,0.645,0.158,2834,0.544,0.594,0.725,0.373,2597,0.650,0.624,0.788,0.558,3115,PACARAIMA
1400472,Rorainópolis,14,Roraima,0.324,0.534,0.591,0.108,3709,0.501,0.573,0.702,0.313,3214,0.619,0.574,0.798,0.519,3721,RORAINÓPOLIS
1400506,São João da Baliza,14,Roraima,0.365,0.519,0.655,0.143,3047,0.538,0.559,0.702,0.397,2699,0.655,0.614,0.780,0.587,3008,SÃO JOÃO DA BALIZA
1400605,São Luiz,14,Roraima,0.348,0.570,0.645,0.115,3303,0.545,0.580,0.702,0.398,2581,0.649,0.605,0.788,0.574,3136,SÃO LUIZ
1400704,Uiramutã,14,Roraima,0.201,0.313,0.574,0.045,5391,0.333,0.363,0.662,0.153,5417,0.453,0.439,0.766,0.276,5560,UIRAMUTÃ
1500107,Abaetetuba,15,Pará,0.386,0.490,0.669,0.175,2718,0.501,0.523,0.750,0.320,3214,0.628,0.579,0.798,0.537,3519,ABAETETUBA
1500131,Abel Figueiredo,15,Pará,0.357,0.549,0.637,0.130,3156,0.508,0.592,0.709,0.313,3119,0.622,0.625,0.800,0.481,3653,ABEL FIGUEIREDO
1500206,Acará,15,Pará,0.254,0.450,0.631,0.058,4930,0.350,0.481,0.714,0.125,5320,0.506,0.517,0.757,0.332,5510,ACARÁ
1500305,Afuá,15,Pará,0.250,0.459,0.633,0.054,4974,0.330,0.468,0.711,0.108,5430,0.489,0.485,0.774,0.311,5543,AFUÁ
1500347,Água Azul do Norte,15,Pará,0.208,0.489,0.576,0.032,5343,0.376,0.565,0.679,0.139,5101,0.564,0.563,0.797,0.399,4965,ÁGUA AZUL DO NORTE
1500404,Alenquer,15,Pará,0.328,0.464,0.589,0.129,3635,0.433,0.486,0.707,0.236,4220,0.564,0.529,0.779,0.436,4965,ALENQUER
1500503,Almeirim,15,Pará,0.395,0.581,0.693,0.153,2594,0.526,0.660,0.733,0.300,2880,0.642,0.659,0.809,0.497,3254,ALMEIRIM
1500602,Altamira,15,Pará,0.386,0.569,0.636,0.159,2718,0.534,0.629,0.752,0.322,2755,0.665,0.662,0.811,0.548,2776,ALTAMIRA
